ref,quantity,manufacturer,model,description,critical_spec,verification,source,budget_usd_each
E01,1,Raspberry Pi,Raspberry Pi 4 Model B 4GB,Master controller,40-pin GPIO and four USB ports,Vendor documented,https://www.raspberrypi.com/products/raspberry-pi-4-model-b/,60
E02,1,Raspberry Pi,15W USB-C Power Supply,Separate Pi supply,5.1V 3A USB-C,Vendor documented,https://www.raspberrypi.com/products/type-c-power-supply/,12
E03,1,Reputable flash vendor,32GB or larger microSD A1,Operating system card,High endurance preferred,Specification selection,,12
E04,1,Waveshare,ESP32-S3-Touch-LCD-1.85 SKU28514,Central face display,55x55mm;360x360 ST77916 QSPI;USB-C;no B/C suffix,Vendor documented,https://docs.waveshare.com/ESP32-S3-Touch-LCD-1.85,35
E05,5,Adafruit,3967 VL53L1X STEMMA QT,Five interaction ranging sensors,25.5x17.5x4.6mm;I2C0x29,Vendor documented,https://www.adafruit.com/product/3967,14.95
E06,1,Adafruit,5626 PCA9548 STEMMA QT,Mux for five same-address sensors,TCA9548A-compatible;40.6x20.2x4.8mm;0x70,Vendor documented,https://www.adafruit.com/product/5626,6.95
E07,5,Adafruit,STEMMA QT JST-SH4 cable,One separate cable per sensor,Length selected to assembled routing;100-300mm nominal,Measure route before buying,https://www.adafruit.com/category/619,2
E08,1,Adafruit,STEMMA QT to female header cable,Pi to mux upstream connector,3.3V logic only,Specification selection,https://www.adafruit.com/category/619,2
E09,4,Adafruit,1768 quarter NeoPixel60 ring,Outer RGB emotion halo,15RGB per quadrant;four form OD157.5mm ID144.8mm ring,Vendor documented,https://www.adafruit.com/product/1768,9.95
E10,1,Adafruit,2862 NeoPixel24 RGBW natural white,Inner white lamp ring,24RGBW;OD65.5mm;only W channel used;4500K nominal,Vendor documented,https://www.adafruit.com/product/2862,24.95
E11,1,Adafruit,1787 74AHCT125 DIP14,Two data level shifters,5V VCC;3.3V logic accepted;AHCT required,Vendor documented,https://www.adafruit.com/product/1787,1.50
E12,2,Generic,330ohm 0.25W resistor,LED input series resistors,One per independent data line,Design choice,,0.10
E13,2,Generic,1000uF 10V electrolytic,LED ring supply reservoir,Observe polarity;one each ring,Design choice,,1
E14,1,Generic,100nF ceramic,74AHCT125 decoupling,Across DIP14 and DIP7 at socket,Design choice,,0.10
E15,1,Pololu,D24V50F5 item2851,LED5V buck converter,5V5A typical thermal-limited;17.8x20.3x8.8mm,Vendor documented,https://www.pololu.com/product/2851,32.95
